"nama","kode_rs","tempat_tidur","telepon","lat","lon","alamat","tipe","wilayah","propinsi"
"RS UMUM DAERAH DR. ABDOER RAHEM KABUPATEN SITUBON","3512012",307,"(0338) 673293",-7.695212,113.995589,"JL. ANGGREK NO. 68, KEL. PATOKAN, KEC. SITUBONDO, KAB. SITUBONDO","RS_RUJUKAN_PROVINSI","SITUBONDO, JAWA TIMUR","JAWA TIMUR"
" RS UMUM DAERAH AMBARAWA","3322012",262,"",-6.9564,110.422,"  JL. KARTINI NO.101, AMBARAWA","RS_RUJUKAN_PROVINSI","SEMARANG, JAWA TENGAH","JAWA TENGAH"
"RS UMUM SAKINA IDAMAN","3404157",80,"(0274) 8000111",-7.767466,110.368214,"JL NYI TJONDROLOEKITO NO. 60, SINDUADI, MLATI, SLEMAN","RS_RUJUKAN_PROVINSI","SLEMAN, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS UMUM DAERAH SAYANG RAKYAT","7371014",92,"0812-8824-1000",-5.075701,119.493493,"JL. PAHLAWAN NO. 1000 BULUROKENG, KEC. BIRINGKANAYA, KOTA MAKASSAR, SULAWESI SELATAN 90243","RS_RUJUKAN_PROVINSI","KOTA MAKASSAR, SULAWESI SELATAN","SULAWESI SELATAN"
"RS UMUM KASIH IBU","3372165",232,"(0271) 714422",-7.562967,110.801762,"JL. SLAMET RIYADI NO.404, PURWOSARI, KEC. LAWEYAN","RS_RUJUKAN_PROVINSI","KOTA SURAKARTA, JAWA TENGAH","JAWA TENGAH"
"RS BENYAMIN GULUH KOLAKA","7404012",178,"0405-2321042",-4.053301,121.598118,"JL. WR SUPRATMAN NO.16, LAMOKATO, KOLAKA, KABUPATEN KOLAKA, SULAWESI TENGGARA 93511","RS_RUJUKAN_PROVINSI","KOLAKA, SULAWESI TENGGARA","SULAWESI TENGGARA"
"RS UMUM DAERAH BULA","8107021",143,"(0915) 21312",-3.096501,130.476571,"JL. WAILOLA NO.11-12 BULA KAB. SERAM BAGIANTIMUR","RS_RUJUKAN_PROVINSI","SERAM BAGIAN TIMUR, MALUKU","MALUKU"
"RS NATIONAL HOSPITAL","3578778",157,"(031) 2975777",-7.299354,112.676399,"JL. BOULEVARD FAMILI SELATAN KAV. 1, SURABAYA","RS_RUJUKAN_PROVINSI","KOTA SURABAYA, JAWA TIMUR","JAWA TIMUR"
"RS UMUM PUSRI PALEMBANG","1671046",137,"(0711) 721313",-2.970213,104.801382,"KOMP. PT PUSRI, JL. MAY ZEN, SEI SELAYUR, KEC. KALIDONI, KOTA PALEMBANG, SUMATERA SELATAN 30118","RS_RUJUKAN_PROVINSI","KOTA PALEMBANG, SUMATERA SELATAN","SUMATERA SELATAN"
"RS UMUM DAERAH TANJUNG UBAN","2002010",111,"(0771) 482655",1.050226,104.252335,"JL. INDUN SURI – SIMPANG BUSUNG NO. 1, TANJUNG UBAN, TANJUNG PERMAI, SERI KUALA LOBAM, TJ. PERMAI, SERI KUALA LOBAM, KABUPATEN BINTAN, KEPULAUAN RIAU 29000","RS_RUJUKAN_PROVINSI","BINTAN, KEPULAUAN RIAU","KEPULAUAN RIAU"
"RS UMUM DAERAH CILACAP","3301014",311,"",-7.7172,109.015,"    JL. GATOT SUBROTO 28 CILACAP RT 04 / RW O5","RS_RUJUKAN_PROVINSI","CILACAP, JAWA TENGAH","JAWA TENGAH"
"RS UMUM COLUMBIA ASIA SEMARANG","3374366",111,"(024) 7629999",-6.984253,110.382972,"JL. SILIWANGI NO. 143","RS_RUJUKAN_PROVINSI","KOTA SEMARANG, JAWA TENGAH","JAWA TENGAH"
"RS UMUM PERTAMINA JAYA","3173474",160,"(021) 4211911",-6.173208,106.876086,"JL. A. YANI NO. 2, CEMPAKA PUTIH, JAKARTA PUSAT","RS_RUJUKAN_PROVINSI","JAKARTA PUSAT, DKI JAKARTA","DKI JAKARTA"
"RS UMUM DAERAH DR. SAYIDIMAN MAGETAN","3520012",311,"(0351) 895023",-7.652489,111.336135,"JL. PAHLAWAN NO.2 MAGETAN","RS_RUJUKAN_PROVINSI","MAGETAN, JAWA TIMUR","JAWA TIMUR"
" RS UMUM DAERAH DR. R. SOETRASNO REMBANG","3317015",390,"",-6.707561305507749,111.37215583529814," JL. PAHLAWAN NO.16,REMBANG","RS_RUJUKAN_PROVINSI","REMBANG, JAWA TENGAH","JAWA TENGAH"
"RS UMUM DAERAH  DR. R.M. PRATOMO BAGANSIAPIAPI","1409022",131,"",2.15764,100.809633,"BAGAN TIM., BANGKO, KABUPATEN ROKAN HILIR, RIAU 28912","RS_RUJUKAN_PROVINSI","ROKAN HILIR, RIAU","RIAU"
"RSU PKU MUHAMMADIYAH BANTUL","3402031",162,"(0274) 368238",-7.886798,110.330232,"JL JENDERAL SUDIRMAN 124 BANTUL","RS_RUJUKAN_PROVINSI","BANTUL, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS UMUM MOHAMMAD NOER PAMEKASAN","3528027",118,"(0324) 322594",-7.156579,113.490482,"JALAN BONOROGO NO.17, LAWANGAN DAYA, PADEMAWU, TAMAN, LAWANGAN DAYA, KEC. PAMEKASAN, KABUPATEN PAMEKASAN, JAWA TIMUR 69323","RS_RUJUKAN_PROVINSI","PAMEKASAN, JAWA TIMUR","JAWA TIMUR"
"RS UMUM DAERAH ARIFIN NUMANG","7314024",179,"(0421) 93010",-3.845158,119.816904,"JL.JEND.  ACHMAD YANI NO. 1 RAPPANG","RS_RUJUKAN_PROVINSI","SIDENRENG RAPPANG, SULAWESI SELATAN","SULAWESI SELATAN"
"RS UMUM ROYAL SURABAYA","3578781",170,"(031) 8476111",-7.328892,112.750833,"JL. RUNGKUT INDUSTRI I NO.1, KENDANGSARI, KEC. TENGGILIS MEJOYO","RS_RUJUKAN_PROVINSI","KOTA SURABAYA, JAWA TIMUR","JAWA TIMUR"
"RS UMUM HAJI SURABAYA","3578523",300,"(031) 5924000",-7.283846,112.77987,"JL. MANYAR KERTOADI, KLAMPIS NGASEM, KEC. SUKOLILO, KOTA SBY, JAWA TIMUR 60116","RS_RUJUKAN_PROVINSI","KOTA SURABAYA, JAWA TIMUR","JAWA TIMUR"
"RS UMUM DAERAH NGANJUK","3518011",388,"(0358) 21118",-7.603748,111.894726,"JL. DR. SUTOMO 62, NGANJUK","RS_RUJUKAN_PROVINSI","NGANJUK, JAWA TIMUR","JAWA TIMUR"
"RS UMUM DAERAH CIBINONG","3201046",390,"(021) 8753487",-6.4732,106.831,"JL. KSR DADI KUSMAYADI NO. 27 CIBINONG BOGOR","RS_RUJUKAN_PROVINSI","BOGOR, JAWA BARAT","JAWA BARAT"
"RS UMUM DAERAH BAGAS WARAS","3310421",179,"(0272) 3359666",-7.727982,110.605628,"JALAN IR. SOEKARNO NO.KM.2, BUNTALAN, KEC. KLATEN TENGAH, KABUPATEN KLATEN, JAWA TENGAH 57419","RS_RUJUKAN_PROVINSI","KLATEN, JAWA TENGAH","JAWA TENGAH"
"RS UMUM DAERAH KAB.BEKASI","3216252",206,"",-6.2667,107.082," JL. TEUKU UMAR CIBITUNG,BEKASI","RS_RUJUKAN_PROVINSI","BEKASI, JAWA BARAT","JAWA BARAT"
"RS UMUM DAERAH CIAWI","3201050",450,"0251-8240797",-6.6609633582874,106.85357761383,"JL. RAYA PUNCAK 479 CIAWI BOGOR","RS_RUJUKAN_PROVINSI","BOGOR, JAWA BARAT","JAWA BARAT"
"RS UMUM DAERAH DR. P. P. MAGRETTI SAUMLAKI","8101063",70,"",-7.974369,131.308021,"JL. MR. LATUHARHARI - SAUMLAKI","RS_RUJUKAN_NASIONAL","MALUKU TENGGARA BARAT, MALUKU","MALUKU"
"RS UMUM DAERAH AJI MUHAMMAD PARIKESIT","6403015",451,"(0541) 661015",-0.4173,116.981,"JL. RATU AGUNG NO. 1 TENGGARONG SEBERANG","RS_RUJUKAN_NASIONAL","KUTAI KARTANEGARA, KALIMANTAN TIMUR","KALIMANTAN TIMUR"
"RS UMUM DAERAH DR. H. BOB BAZAR, SKM","1803021",212,"(0727) 322159",-5.727526,105.596497,"JL. LETTU ROHANI NO.14 B, KEDATON, KEC. KALIANDA, KABUPATEN LAMPUNG SELATAN, LAMPUNG 35551","RS_RUJUKAN_NASIONAL","LAMPUNG SELATAN, LAMPUNG","LAMPUNG"
"RS UMUM DAERAH DR TC HILLERS MAUMERE","5310012",202,"0812-6115-3944 / 0380 - 21617",-8.622152,122.204286,"JL WAIRKLAU, NO. 1, 86113, KOTA BARU, ALOK TIM., KABUPATEN SIKKA, NUSA TENGGARA TIM.","RS_RUJUKAN_NASIONAL","SIKKA, NUSA TENGGARA TIMUR","NUSA TENGGARA TIMUR"
"RS UMUM PAD GATOT SOEBROTO","3173025",649,"(021) 3441008",-6.176125,106.837643,"JL. DR. ABDUL  RAHMAN SALEH NO. 24  JAKARTA PUSAT","RS_RUJUKAN_NASIONAL","JAKARTA PUSAT, DKI JAKARTA","DKI JAKARTA"
"RS UMUM DAERAH SITI FATIMAH PROVINSI SUMATERA SELATAN","1671347",259,"(0711) 5718883",-2.9892094654115,104.734429,"JL. KOL. H. BURLIAN KM 6","RS_RUJUKAN_NASIONAL","KOTA PALEMBANG, SUMATERA SELATAN","SUMATERA SELATAN"
"RS UMUM DAERAH PROF DR. MARGONO SOEKARJO PURWOKER","3302026",828,"",-7.4316,109.247,"JL. DR GUMBREG NO. 1 PURWOKERTO","RS_RUJUKAN_NASIONAL","BANYUMAS, JAWA TENGAH","JAWA TENGAH"
"RS UMUM DAERAH  R SYAMSUDIN SH","3272014",760,"",-6.9149,106.935,"JL. RUMAH SAKIT NO. 1 KOTA SUKABUMI","RS_RUJUKAN_NASIONAL","KOTA SUKABUMI, JAWA BARAT","JAWA BARAT"
"RS UMUM DAERAH UNDATA PALU","7271014",385,"(0451) 4908020",-0.857646,119.884889,"JALAN TRANS SULAWESI TONDO, TALISE, MANTIKULORE, KOTA PALU, SULAWESI TENGAH 94119","RS_RUJUKAN_NASIONAL","KOTA PALU, SULAWESI TENGAH","SULAWESI TENGAH"
"RS UMUM  MOKOPIDO TOLI-TOLI","7206012",266,"(0453) 21301",1.036153,120.824241,"JL. LANONI NO.37 KEL BARU KEC BAOLAN KAB TOLI-TOLI, SULTENG","RS_RUJUKAN_NASIONAL","TOLITOLI, SULAWESI TENGAH","SULAWESI TENGAH"
"RS UMUM DAERAH KABUPATEN TANGERANG","3603010",438,"(021) 5523507 / (021)  5512948 / (021) 5513709",-6.1697843,106.6356113,"JL. A YANI NO. 9 TANGERANG, KOTA TANGERANG","RS_RUJUKAN_NASIONAL","KOTA TANGERANG, BANTEN","BANTEN"
"RS UMUM DAERAH DR H ABDUL MOELOEK","1801017",644,"(0721) 703312",-5.402913,105.259312,"JL. DR. RIVAI NO.6, PENENGAHAN, KEC. TJ. KARANG PUSAT, KOTA BANDAR LAMPUNG, LAMPUNG 35112","RS_RUJUKAN_NASIONAL","KOTA BANDAR LAMPUNG, LAMPUNG","LAMPUNG"
"RS UMUM DAERAH KAB. BULELENG","5108016",339,"(0362) 22046",-8.1199,115.092,"JL. NGURAH RAI 30 SINGARAJA","RS_RUJUKAN_NASIONAL","BULELENG, BALI","BALI"
"RS BAHTERAMAS PROVINSI SULTRA","7471011",519,"(0401) 3195611",-4.034636,122.492097,"JL. KAPTEN PIERE TENDEAN NO 50 KEC BARUGA","RS_RUJUKAN_NASIONAL","KOTA KENDARI, SULAWESI TENGGARA","SULAWESI TENGGARA"
"RS UMUM DAERAH LAHAT","1604016",188,"",-3.79,103.538,"JL. LETJEND HARUN SOHAR NO.28","RS_RUJUKAN_NASIONAL","LAHAT, SUMATERA SELATAN","SUMATERA SELATAN"
"RS UMUM DAERAH TAMAN HUSADA","6474032",162,"(0548) 23000",0.142822,117.448877,"JL. LETJEN S. PARMAN NO.1, BELIMBING, BONTANG BAR., KOTA BONTANG, KALIMANTAN TIMUR 75331","RS_RUJUKAN_NASIONAL","KOTA BONTANG, KALIMANTAN TIMUR","KALIMANTAN TIMUR"
"RS DR. RIVAI ABDULLAH","1671072",155,"",-2.979509432998,104.86380461192,"JL. SUNGAI KUNDUR KELURAHAN MARIANA KEC. BANYUASIN I","RS_RUJUKAN_NASIONAL","BANYUASIN, SUMATERA SELATAN","SUMATERA SELATAN"
"RSUP DR. M. DJAMIL","1371010",820,"",-0.9438,100.367,"JL. PERINTIS KEMERDEKAAN PADANG","RS_RUJUKAN_NASIONAL","KOTA PADANG, SUMATERA BARAT","SUMATERA BARAT"
"RS UMUM DR. M. HAULUSSY AMBON","8171015",379,"(0911) 344871",-3.708337,128.167195,"JL. DR. KAYADOE, BENTENG, NUSANIWE, KEL BENTENG, NUSANIWE, KOTA AMBON, MALUKU","RS_RUJUKAN_NASIONAL","KOTA AMBON, MALUKU","MALUKU"
"RS UMUM DAERAH TIDAR","3371014",319,"",-7.5005,110.224,"JL. TIDAR NO.30 A, KOTA MAGELANG","RS_RUJUKAN_NASIONAL","KOTA MAGELANG, JAWA TENGAH","JAWA TENGAH"
"RS UMUM DAERAH DR. R. SOSODORO DJATIKOESOEMO","3522014",374,"(0353) 3412133",-7.15951,111.899632,"JL. VETERAN NO 36, BOJONEGORO","RS_RUJUKAN_NASIONAL","BOJONEGORO, JAWA TIMUR","JAWA TIMUR"
"RS UMUM DAERAH DR. SOEBANDI","3509010",503,"(0331) 487441",-8.151897,113.715023,"JL. DR. SOEBANDI NO.124, JEMBER","RS_RUJUKAN_NASIONAL","JEMBER, JAWA TIMUR","JAWA TIMUR"
"RSUP DR. SARDJITO","3404015",904,"(0274) 631190",-7.768597,110.373474,"JL KESEHATAN NO.1 SEKIP YOGYAKARTA","RS_RUJUKAN_NASIONAL","SLEMAN, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS UMUM PUSAT DR. SOERADJI TIRTONEGORO","3310015",476,"",-7.7151,110.588,"JL. KRT. SURAJI TIRTONEGORO NO.1, KLATEN","RS_RUJUKAN_NASIONAL","KLATEN, JAWA TENGAH","JAWA TENGAH"
"RS UMUM DAERAH PROVINSI SULAWESI BARAT","7604023",220,"(0426) 2703260",-2.689785,118.862795,"JL. RE MARTADINATA, SIMBORO, KEC. SIMBORO DAN KEPULAUAN, KABUPATEN MAMUJU, SULAWESI BARAT 91512","RS_RUJUKAN_NASIONAL","MAMUJU, SULAWESI BARAT","SULAWESI BARAT"
"RS TK.II PELAMONIA","7371030",393,"0811-1782-399",-5.137968,119.416137,"JL. JEND SUDIRMAN NO.27,MAKASSAR","RS_RUJUKAN_NASIONAL","KOTA MAKASSAR, SULAWESI SELATAN","SULAWESI SELATAN"
"RS UMUM DAERAH PASAR MINGGU","3171795",580,"(021) 29059999",-6.293644,106.819958,"JL. TB. SIMATUPANG NO. 1 KELURAHAN RAGUNAN, KECAMATAN PASAR MINGGU - JAKARTA SELATAN","RS_RUJUKAN_NASIONAL","JAKARTA SELATAN, DKI JAKARTA","DKI JAKARTA"
"RS UMUM DAERAH DR DORIS SYLVANUS PALANGKA RAYA","6271012",551,"(0536) 3224695",-1.5934,113.231,"JL. TAMBUN BUNGAI NO.4 PALANGKARAYA","RS_RUJUKAN_NASIONAL","MURUNG RAYA, KALIMANTAN TENGAH","KALIMANTAN TENGAH"
"RS DR. TADJUDDIN CHALID, MPH","7371314",211,"(0411) 513795",-5.110355,119.518098,"JL. PACCERAKKANG NO.67 / PAJJAIANG DAYA MAKASSAR","RS_RUJUKAN_NASIONAL","KOTA MAKASSAR, SULAWESI SELATAN","SULAWESI SELATAN"
"RS UMUM DAERAH DR. ISKAK TULUNGAGUNG","3504012",613,"(0355) 322609",-8.054918,111.918112,"JL. DR. WAHIDIN SUDIRO HUSODO TULUNGAGUNG","RS_RUJUKAN_NASIONAL","TULUNGAGUNG, JAWA TIMUR","JAWA TIMUR"
"RS UMUM DAERAH WATES","3401015",237,"(0274) 773169",-7.858816,110.147947,"JL TENTARA PELAJAR KM.1 NO.5 WATES KULON PROGO","RS_RUJUKAN_NASIONAL","KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RSUP FATMAWATI","3171012",390,"(021) 7501524",-6.2811796677849,106.79580688095,"JL. RS FATMAWATI CILANDAK,JAKSEL","RS_RUJUKAN_NASIONAL","JAKARTA SELATAN, DKI JAKARTA","DKI JAKARTA"
"RSUP SANGLAH","5171016",776,"(0361) 227912",-8.6757393936209,115.2117500906,"JL. DIPONEGORO DENPASAR BALI","RS_RUJUKAN_NASIONAL","KOTA DENPASAR, BALI","BALI"
"RS UMUM AL DR MINTOHARJO","3173036",280,"(021) 5703081",-6.210965,106.811428,"JL. BENDUNGAN HILIR 17 JAKPUS","RS_RUJUKAN_NASIONAL","JAKARTA PUSAT, DKI JAKARTA","DKI JAKARTA"
"RS UMUM DAERAH DR. R. KOESMA TUBAN","3523015",404,"(0356) 321010",-6.898741,112.046519,"JL. DR. WAHIDIN SUDIRO HUSODO NO. 800","RS_RUJUKAN_NASIONAL","TUBAN, JAWA TIMUR","JAWA TIMUR"
"RS UMUM DAERAH DR. LOEKMONO HADI","3319010",453,"",-6.8197,110.836,"JL. DR. LUKMONOHADI NO.19,KUDUS","RS_RUJUKAN_NASIONAL","KUDUS, JAWA TENGAH","JAWA TENGAH"
"RS UMUM YAPIKA","7306059",105,"(0411) 8980008",-5.198152,119.491644,"JL. ABD. KADIR DG. SURO, SAMATA, KEC. SOMBA OPU, KABUPATEN GOWA, SULAWESI SELATAN 90235","RS","GOWA, SULAWESI SELATAN","SULAWESI SELATAN"
"RS HAWARI ESSA","3328082",36,"(0283) 4562382",-7.030839,109.144275,"JL. BANJARANYAR - TEGAL, KAJEN, KEC. LEBAKSIU, TEGAL, JAWA TENGAH 52461","RS","TEGAL, JAWA TENGAH","JAWA TENGAH"
"RS MITRA HUSADA CIAWIGEBANG","3208063",8,"0822-1815-3882",-6.972998,108.587755,"KADURAMA, CIAWIGEBANG, KUNINGAN REGENCY, WEST JAVA 45591","RS","KUNINGAN, JAWA BARAT","JAWA BARAT"
"RS PRATAMA BILABANGGAI BUKO SELATAN","7201014",20,"081369889819",-1.471444,122.818655,"JL. TRANS SULAWESI LUWUK PALU DESA TONGKONUNUK KEC. PAGIMANA BANGGAI INDONESIA.","RS","BANGGAI KEPULAUAN, SULAWESI TENGAH","SULAWESI TENGAH"
"RS CLAIRE MEDIKA","7202017",14,"04613201849",-0.943363,122.796407,"JL. SUNGAI MUSI NO. 17 KELURAHAN SOHO KECAMATAN LUWUK","RS","BANGGAI, SULAWESI TENGAH","SULAWESI TENGAH"
"RS IBU DAN ANAK SAYANG BUNDA","7371432",13,"04114671332",-5.163369,119.442787,"HERTASNING NO. 52 KEL. TIDUNG KEC. RAPPOCINI MAKASSAR","RS","KOTA MAKASSAR, SULAWESI SELATAN","SULAWESI SELATAN"
"RS IBU DAN ANAK IBI SURABAYA","3578261",23,"(031) 5323837",-7.245334,112.727862,"JL. DUPAK NO. 15A SURABAYA","RS","KOTA SURABAYA, JAWA TIMUR","JAWA TIMUR"
"RS SEGER WARAS","1208068",18,"0823-7070-0960",2.58628,99.652163,"LEDONG BAR., AEK LEDONG","RS","ASAHAN, SUMATERA UTARA","SUMATERA UTARA"
"RS MATA PROVINSI KALIMANTAN TIMUR","6472131",0,"(0541) 744536",-0.496644,117.153501,"JL. BASUKI RAHMAT NO.1, PELABUHAN, KEC. SAMARINDA KOTA, KOTA SAMARINDA, KALIMANTAN TIMUR 75112","RS","KOTA SAMARINDA, KALIMANTAN TIMUR","KALIMANTAN TIMUR"
"RSUD KH MANSYUR","6301020",44,"",-3.858789,115.215572,"JL.PUSAKA, KINTAP","RS","TANAH LAUT, KALIMANTAN SELATAN","KALIMANTAN SELATAN"
"RS IBUNDA","1409018",45,"",1.684026,100.428945,"BAHTERA MAKMUR, BAGAN SINEMBAH","RS","ROKAN HILIR, RIAU","RIAU"
"RS UMUM SANDI KARSA MAKASSAR","7371434",0,"(0411) 446343",-5.148777,119.439051,"JL. ABDULLAH DAENG SIRUA NO.16A, MASALE, KEC. PANAKKUKANG, KOTA MAKASSAR, SULAWESI SELATAN 90231","RS","KOTA MAKASSAR, SULAWESI SELATAN","SULAWESI SELATAN"
"RS KELAS D PRATAMA PARENGGEAN","6202025",0,"0531 2051151",-2.012362,112.804563,"JL. LESA RT.01 RW.01 DESA BAJARAU, PARENGGEAN 74355","RS","KOTAWARINGIN TIMUR, KALIMANTAN TENGAH","KALIMANTAN TENGAH"
"RUMAH SAKIT UMUM SURYA","1213061",0,"0618910208",3.755865,98.453094,"JALAN KH ZAINUL ARIFN NO 8 KELURAHAN STABAT BARU KECAMATAN STABAT","RS","LANGKAT, SUMATERA UTARA","SUMATERA UTARA"
"RS METTA MEDIKA","1277027",65,"063125007",1.741294,98.781295,"JL SUTOYO SISWOMIHARJO NO 34 SIBOLGA","RS","KOTA SIBOLGA, SUMATERA UTARA","SUMATERA UTARA"
"RS CHEVANI","1274063",130,"06213950222",3.348785,99.168511,"JALAN PROF. H. M. YAMIN NO. 17 TANJUNG MARULAK HILIR","RS","KOTA TEBING TINGGI, SUMATERA UTARA","SUMATERA UTARA"
"RS UMUM BERKAH","1220002",32,"082277449860",1.535246,99.653639,"JL. GUNUNG TUA - LANGGA PAYUNG KM. 1 KEC. PADANG BOLAK","RS","PADANG LAWAS UTARA, SUMATERA UTARA","SUMATERA UTARA"
"RS IBU DAN ANAK KARTINI","7371429",22,"0411362002",-5.136342,119.410697,"JL. KARTINI NO 1 A","RS","KOTA MAKASSAR, SULAWESI SELATAN","SULAWESI SELATAN"
"RS IBU DAN ANAK AMALIA","3525100",21,"03199112451",-6.981127,112.545491,"JL. RAYA DEANDLES GOLOKAN RT 01 RW 02, SIDAYU GRESIK","RS","GRESIK, JAWA TIMUR","JAWA TIMUR"
"RS UMUM HARAPAN IBUNDA","1305017",25,"075271885",-0.465761,100.58025,"JL. IMAM BONJOL NO.3B, DOBOK","RS","TANAH DATAR, SUMATERA BARAT","SUMATERA BARAT"
"RS UMUM PERMATA HATI","1208064",33,"081360101887",2.987538,99.64245,"JL IR H JUANDA NO 21 KISARAN","RS","ASAHAN, SUMATERA UTARA","SUMATERA UTARA"
"RS UMUM METHODIST BINTANG KASIH","1208062",0,"0623 41589",2.985296,99.62582,"JL COKROAMINOTO NO. 46 KELURAHAN KISARAN BARU KECAMATAN KOTA KISARAN BARAT","RS","ASAHAN, SUMATERA UTARA","SUMATERA UTARA"
"RS UMUM ISLAM ORPEHA","3504045",84,"(0355) 327691",-8.051249,111.879001,"JL. KH ABDUL FATAH NO.80, BATANGSAREN, KEC. KAUMAN","RS","TULUNGAGUNG, JAWA TIMUR","JAWA TIMUR"
"RS KHUSUS JIWA PURI NIRMALA","3471085",28,"(0274) 515255",-7.801039,110.37718,"JL JAYANINGPRANGAN NO.13 GUNUNGKETUR PAKUALAMAN YOGYAKARTA","RS","KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RSK THT SARI ASIH","3471293",0,"(0274) 387664",-7.818752,110.365648,"JL. TIRTODIPURAN NO. 38 YOGYA","RS","KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RSK THT PROF R OEPOMO","3471314",0,"(0274) 375232",-7.80699,110.368651,"JL. SURYOMENTARAMAN WETAN NO.37, PANEMBAHAN, KECAMATAN KRATON","RS","KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS ISLAM MASYITHOH BANGIL","3514025",103,"(0343) 741018",-7.597936,112.780115,"JL. A. YANI NO. 6 BANGIL- KAB. PASURUAN","RS","PASURUAN, JAWA TIMUR","JAWA TIMUR"
"RS IBU DAN ANAK MUSLIMAT JOMBANG","3517043",104,"(0321) 872200",-7.543758,112.233874,"JL. URIP SUMOHARDJO NO 34 JOMBANG","RS","JOMBANG, JAWA TIMUR","JAWA TIMUR"
"RS UMUM SITI KHODIJAH","3375033",101,"(0285) 422845",-6.886236,109.676879,"JL. BANDUNG NO.39-47,PEKALONGAN","RS","PEKALONGAN, JAWA TENGAH","JAWA TENGAH"
"RS UMUM TK.IV TEGAL","3376034",49,"(0283) 351420",-6.904865,109.132416,"JL. RS DKT PAGONGAN, JETIS, LEMAHDUWUR, KEC. ADIWERNA","RS","TEGAL, JAWA TENGAH","JAWA TENGAH"
"RS IBU ANAK UMMI KHASANAH","3402042",24,"(0274) 367638",-7.878518,110.330464,"JL. PEMUDA JL. GANDEKAN RAYA, BABADAN, KEC. BANTUL","RS","BANTUL, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS KATOLIK BUDI RAHAYU","3572021",91,"(0342) 801066",-8.099569,112.172042,"JL. JEND. A. YANI 18 KOTA BLITAR","RS","BLITAR, JAWA TIMUR","JAWA TIMUR"
"RS UMUM DHARMA HUSADA","3574023",65,"(0335) 422176",-7.753119,113.209795,"JL. SUKARNO HATTA NO. 10 KOTA PROBOLINGGO","RS","KOTA PROBOLINGGO, JAWA TIMUR","JAWA TIMUR"
"RS PARU DUNGUS","3519012",52,"(0351) 456735",-7.689041,111.615998,"JL. RAYA DUNGUS - WUNGU MADIUN","RS","MADIUN, JAWA TIMUR","JAWA TIMUR"
"RS IBU DAN ANAK NYAI AGENG PINATIH GRESIK","3525043",37,"(031) 3981167",-7.156902,112.652251,"JL. KH ABDUL KARIM 76-78 GRESIK","RS","GRESIK, JAWA TIMUR","JAWA TIMUR"
"RS TK. IV 05.07.02 KEDIRI","3571020",101,"(0354) 687801",-7.808805,112.009362,"JL. MAYJEN SUNGKONO NO. 44, KOTA KEDIRI","RS","KEDIRI, JAWA TIMUR","JAWA TIMUR"
"RS UTAMA HUSADA JEMBER","3509101",20,"(0336) 881186",-8.344259,113.598249,"JL. MANGGAR NO.134 TEGALSARI, AMBULU JEMBER","RS","JEMBER, JAWA TIMUR","JAWA TIMUR"
"RSU SURAKARTA BKPM","3372201",52,"(0271) 713055",-7.554529,110.787041,"JL. PROFESOR DR. SOEHARSO NO.28, JAJAR, KEC. LAWEYAN, KOTA SURAKARTA, JAWA TENGAH 57144","RS","KOTA SURAKARTA, JAWA TENGAH","JAWA TENGAH"
"RS UMUM PKU MUHAMMADIYAH BANJARNEGARA","3304035",46,"(0286) 411598",-7.447576,109.534989,"KALIMENDONG, DANARAJA, PURWANEGARA, BANJARNEGARA, CENTRAL JAVA 53472","RS","BANJARNEGARA, JAWA TENGAH","JAWA TENGAH"
"RS MITRA","1571168",49,"07413041377",-1.6318,103.605846,"JL. JENDERAL BASUKI RAHMAT NO 77","RS","KOTA JAMBI, JAMBI","JAMBI"
"RS UNIVERSITAS ISLAM INDONESIA","3402084",39,"1 500 204",-7.919013,110.283228,"JL. SRANDAKAN NO.KM, JUWONO, TRIHARJO, KEC. PANDAK, BANTUL, DAERAH ISTIMEWA YOGYAKARTA 55761","RS","BANTUL, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS UMUM PANTI NIRMALA","3573044",146,"(0341) 362459",-7.994299,112.634061,"JL. KEBALEN WETAN N0.2-8 KEDUNG KANDANG, KOTA MALANG","RS","KOTA MALANG, JAWA TIMUR","JAWA TIMUR"
"RSU DR. ETTY ASHARTO BATU","3579002",45,"(0341) 591054",-7.86854,112.51164,"JL. SAJID NO.44, PESANGGRAHAN, KEC. BATU, KOTA BATU, JAWA TIMUR 65313","RS","KOTA BATU, JAWA TIMUR","JAWA TIMUR"
